date,location,new_cases_smoothed
2021-02-01,Poland,5383.14
2021-02-02,Poland,5383.14
2021-02-03,Poland,5383.14
2021-02-04,Poland,5383.14
2021-02-05,Poland,5383.14
2021-02-06,Poland,5383.14
2021-02-07,Poland,5267.57
2021-02-08,Poland,5267.57
2021-02-09,Poland,5267.57
2021-02-10,Poland,5267.57
2021-02-11,Poland,5267.57
2021-02-12,Poland,5267.57
2021-02-13,Poland,5267.57
2021-02-14,Poland,5528.14
2021-02-15,Poland,5528.14
2021-02-16,Poland,5528.14
2021-02-17,Poland,5528.14
2021-02-18,Poland,5528.14
2021-02-19,Poland,5528.14
2021-02-20,Poland,5528.14
2021-02-21,Poland,7116.14
2021-02-22,Poland,7116.14
2021-02-23,Poland,7116.14
2021-02-24,Poland,7116.14
2021-02-25,Poland,7116.14
2021-02-26,Poland,7116.14
2021-02-27,Poland,7116.14
2021-02-28,Poland,9746.57
2021-03-01,Poland,9746.57
2021-03-02,Poland,9746.57
2021-03-03,Poland,9746.57
2021-03-04,Poland,9746.57
2021-03-05,Poland,9746.57
2021-03-06,Poland,9746.57
2021-03-07,Poland,12561.57
2021-03-08,Poland,12561.57
2021-03-09,Poland,12561.57
2021-03-10,Poland,12561.57
2021-03-11,Poland,12561.57
2021-03-12,Poland,12561.57
2021-03-13,Poland,12561.57
2021-03-14,Poland,15930.29
2021-03-15,Poland,15930.29
2021-03-16,Poland,15930.29
2021-03-17,Poland,15930.29
2021-03-18,Poland,15930.29
2021-03-19,Poland,15930.29
2021-03-20,Poland,15930.29
2021-03-21,Poland,21696.29
2021-03-22,Poland,21696.29
2021-03-23,Poland,21696.29
2021-03-24,Poland,21696.29
2021-03-25,Poland,21696.29
2021-03-26,Poland,21696.29
2021-03-27,Poland,21696.29
2021-03-28,Poland,27371.57
2021-03-29,Poland,27371.57
2021-03-30,Poland,27371.57
2021-03-31,Poland,27371.57
2021-04-01,Poland,27371.57
2021-04-02,Poland,27371.57
2021-04-03,Poland,27371.57
2021-04-04,Poland,26789.43
2021-04-05,Poland,26789.43
2021-04-06,Poland,26789.43
2021-04-07,Poland,26789.43
2021-04-08,Poland,26789.43
2021-04-09,Poland,26789.43
2021-04-10,Poland,26789.43
2021-04-11,Poland,19427.14
2021-04-12,Poland,19427.14
2021-04-13,Poland,19427.14
2021-04-14,Poland,19427.14
2021-04-15,Poland,19427.14
2021-04-16,Poland,19427.14
2021-04-17,Poland,19427.14
2021-04-18,Poland,16202.29
2021-04-19,Poland,16202.29
2021-04-20,Poland,16202.29
2021-04-21,Poland,16202.29
2021-04-22,Poland,16202.29
2021-04-23,Poland,16202.29
2021-04-24,Poland,16202.29
2021-04-25,Poland,10114.14
2021-04-26,Poland,10114.14
2021-04-27,Poland,10114.14
2021-04-28,Poland,10114.14
2021-04-29,Poland,10114.14
2021-04-30,Poland,10114.14
2021-05-01,Poland,10114.14
2021-05-02,Poland,6337.0
2021-05-03,Poland,6337.0
2021-05-04,Poland,6337.0
2021-05-05,Poland,6337.0
2021-05-06,Poland,6337.0
2021-05-07,Poland,6337.0
2021-05-08,Poland,6337.0
2021-05-09,Poland,4258.86
2021-05-10,Poland,4258.86
2021-05-11,Poland,4258.86
2021-05-12,Poland,4258.86
2021-05-13,Poland,4258.86
2021-05-14,Poland,4258.86
2021-05-15,Poland,4258.86
2021-05-16,Poland,3066.57
2021-05-17,Poland,3066.57
2021-05-18,Poland,3066.57
2021-05-19,Poland,3066.57
2021-05-20,Poland,3066.57
2021-05-21,Poland,3066.57
2021-05-22,Poland,3066.57
2021-05-23,Poland,1649.0
2021-05-24,Poland,1649.0
2021-05-25,Poland,1649.0
2021-05-26,Poland,1649.0
2021-05-27,Poland,1649.0
2021-05-28,Poland,1649.0
2021-05-29,Poland,1649.0
2021-05-30,Poland,908.0
2021-05-31,Poland,908.0
2021-06-01,Poland,908.0
2021-06-02,Poland,908.0
2021-06-03,Poland,908.0
2021-06-04,Poland,908.0
2021-06-05,Poland,908.0
2021-06-06,Poland,457.57
2021-06-07,Poland,457.57
2021-06-08,Poland,457.57
2021-06-09,Poland,457.57
2021-06-10,Poland,457.57
2021-06-11,Poland,457.57
2021-06-12,Poland,457.57
2021-06-13,Poland,315.86
2021-06-14,Poland,315.86
2021-06-15,Poland,315.86
2021-06-16,Poland,315.86
2021-06-17,Poland,315.86
2021-06-18,Poland,315.86
2021-06-19,Poland,315.86
2021-06-20,Poland,186.43
2021-06-21,Poland,186.43
2021-06-22,Poland,186.43
2021-06-23,Poland,186.43
2021-06-24,Poland,186.43
2021-06-25,Poland,186.43
2021-06-26,Poland,186.43
2021-06-27,Poland,125.29
2021-06-28,Poland,125.29
2021-06-29,Poland,125.29
2021-06-30,Poland,125.29
2021-07-01,Poland,125.29
2021-07-02,Poland,125.29
2021-07-03,Poland,125.29
2021-07-04,Poland,90.57
2021-07-05,Poland,90.57
2021-07-06,Poland,90.57
2021-07-07,Poland,90.57
2021-07-08,Poland,90.57
2021-07-09,Poland,90.57
2021-07-10,Poland,90.57
2021-07-11,Poland,79.71
2021-07-12,Poland,79.71
2021-07-13,Poland,79.71
2021-07-14,Poland,79.71
2021-07-15,Poland,79.71
2021-07-16,Poland,79.71
2021-07-17,Poland,79.71
2021-07-18,Poland,86.71
2021-07-19,Poland,86.71
2021-07-20,Poland,86.71
2021-07-21,Poland,86.71
2021-07-22,Poland,86.71
2021-07-23,Poland,86.71
2021-07-24,Poland,86.71
2021-07-25,Poland,104.71
2021-07-26,Poland,104.71
2021-07-27,Poland,104.71
2021-07-28,Poland,104.71
2021-07-29,Poland,104.71
2021-07-30,Poland,104.71
2021-07-31,Poland,104.71
2021-08-01,Poland,126.0
2021-08-02,Poland,126.0
2021-08-03,Poland,126.0
2021-08-04,Poland,126.0
2021-08-05,Poland,126.0
2021-08-06,Poland,126.0
2021-08-07,Poland,126.0
2021-08-08,Poland,152.86
2021-08-09,Poland,152.86
2021-08-10,Poland,152.86
2021-08-11,Poland,152.86
2021-08-12,Poland,152.86
2021-08-13,Poland,152.86
2021-08-14,Poland,152.86
2021-08-15,Poland,177.14
2021-08-16,Poland,177.14
2021-08-17,Poland,177.14
2021-08-18,Poland,177.14
2021-08-19,Poland,177.14
2021-08-20,Poland,177.14
2021-08-21,Poland,177.14
2021-08-22,Poland,196.14
2021-08-23,Poland,196.14
2021-08-24,Poland,196.14
2021-08-25,Poland,196.14
2021-08-26,Poland,196.14
2021-08-27,Poland,196.14
2021-08-28,Poland,196.14
2021-08-29,Poland,225.29
2021-08-30,Poland,225.29
2021-08-31,Poland,225.29
2021-09-01,Poland,225.29
2021-09-02,Poland,225.29
2021-09-03,Poland,225.29
2021-09-04,Poland,225.29
2021-09-05,Poland,322.0
2021-09-06,Poland,322.0
2021-09-07,Poland,322.0
2021-09-08,Poland,322.0
2021-09-09,Poland,322.0
2021-09-10,Poland,322.0
2021-09-11,Poland,322.0
2021-09-12,Poland,452.29
2021-09-13,Poland,452.29
2021-09-14,Poland,452.29
2021-09-15,Poland,452.29
2021-09-16,Poland,452.29
2021-09-17,Poland,452.29
2021-09-18,Poland,452.29
2021-09-19,Poland,612.0
2021-09-20,Poland,612.0
2021-09-21,Poland,612.0
2021-09-22,Poland,612.0
2021-09-23,Poland,612.0
2021-09-24,Poland,612.0
2021-09-25,Poland,612.0
2021-09-26,Poland,757.57
2021-09-27,Poland,757.57
2021-09-28,Poland,757.57
2021-09-29,Poland,757.57
2021-09-30,Poland,757.57
2021-10-01,Poland,757.57
2021-10-02,Poland,757.57
2021-10-03,Poland,1090.57
2021-10-04,Poland,1090.57
2021-10-05,Poland,1090.57
2021-10-06,Poland,1090.57
2021-10-07,Poland,1090.57
2021-10-08,Poland,1090.57
2021-10-09,Poland,1090.57
2021-10-10,Poland,1647.86
2021-10-11,Poland,1647.86
2021-10-12,Poland,1647.86
2021-10-13,Poland,1647.86
2021-10-14,Poland,1647.86
2021-10-15,Poland,1647.86
2021-10-16,Poland,1647.86
2021-10-17,Poland,2455.86
2021-10-18,Poland,2455.86
2021-10-19,Poland,2455.86
2021-10-20,Poland,2455.86
2021-10-21,Poland,2455.86
2021-10-22,Poland,2455.86
2021-10-23,Poland,2455.86
2021-10-24,Poland,4761.0
2021-10-25,Poland,4761.0
2021-10-26,Poland,4761.0
2021-10-27,Poland,4761.0
2021-10-28,Poland,4761.0
2021-10-29,Poland,4761.0
2021-10-30,Poland,4761.0
2021-10-31,Poland,7469.14
2021-11-01,Poland,7469.14
2021-11-02,Poland,7469.14
2021-11-03,Poland,7469.14
2021-11-04,Poland,7469.14
2021-11-05,Poland,7469.14
2021-11-06,Poland,7469.14
2021-11-07,Poland,11277.0
2021-11-08,Poland,11277.0
2021-11-09,Poland,11277.0
2021-11-10,Poland,11277.0
2021-11-11,Poland,11277.0
2021-11-12,Poland,11277.0
2021-11-13,Poland,11277.0
2021-11-14,Poland,14326.14
2021-11-15,Poland,14326.14
2021-11-16,Poland,14326.14
2021-11-17,Poland,14326.14
2021-11-18,Poland,14326.14
2021-11-19,Poland,14326.14
2021-11-20,Poland,14326.14
2021-11-21,Poland,20108.86
2021-11-22,Poland,20108.86
2021-11-23,Poland,20108.86
2021-11-24,Poland,20108.86
2021-11-25,Poland,20108.86
2021-11-26,Poland,20108.86
2021-11-27,Poland,20108.86
2021-11-28,Poland,23181.57
2021-11-29,Poland,23181.57
2021-11-30,Poland,23181.57
2021-12-01,Poland,23181.57
2021-12-02,Poland,23181.57
2021-12-03,Poland,23181.57
2021-12-04,Poland,23181.57
2021-12-05,Poland,23362.71
2021-12-06,Poland,23362.71
2021-12-07,Poland,23362.71
2021-12-08,Poland,23362.71
2021-12-09,Poland,23362.71
2021-12-10,Poland,23362.71
2021-12-11,Poland,23362.71
2021-12-12,Poland,22403.29
2021-12-13,Poland,22403.29
2021-12-14,Poland,22403.29
2021-12-15,Poland,22403.29
2021-12-16,Poland,22403.29
2021-12-17,Poland,22403.29
2021-12-18,Poland,22403.29
2021-12-19,Poland,18657.43
2021-12-20,Poland,18657.43
2021-12-21,Poland,18657.43
2021-12-22,Poland,18657.43
2021-12-23,Poland,18657.43
2021-12-24,Poland,18657.43
2021-12-25,Poland,18657.43
2021-12-26,Poland,13003.43
2021-12-27,Poland,13003.43
2021-12-28,Poland,13003.43
2021-12-29,Poland,13003.43
2021-12-30,Poland,13003.43
2021-12-31,Poland,13003.43
2022-01-01,Poland,13003.43
2022-01-02,Poland,11082.86
2022-01-03,Poland,11082.86
2022-01-04,Poland,11082.86
2022-01-05,Poland,11082.86
2022-01-06,Poland,11082.86
2022-01-07,Poland,11082.86
2022-01-08,Poland,11082.86
2022-01-09,Poland,12253.14
2022-01-10,Poland,12253.14
2022-01-11,Poland,12253.14
2022-01-12,Poland,12253.14
2022-01-13,Poland,12253.14
2022-01-14,Poland,12253.14
2022-01-15,Poland,12253.14
2022-01-16,Poland,14264.57
2022-01-17,Poland,14264.57
2022-01-18,Poland,14264.57
2022-01-19,Poland,14264.57
2022-01-20,Poland,14264.57
2022-01-21,Poland,14264.57
2022-01-22,Poland,14264.57
2022-01-23,Poland,29306.71
2022-01-24,Poland,29306.71
2022-01-25,Poland,29306.71
2022-01-26,Poland,29306.71
2022-01-27,Poland,29306.71
2022-01-28,Poland,29306.71
2022-01-29,Poland,29306.71
2022-01-30,Poland,47768.86
2022-01-31,Poland,47768.86
2022-02-01,Poland,47768.86
2022-02-02,Poland,47768.86
2022-02-03,Poland,47768.86
2022-02-04,Poland,47768.86
2022-02-05,Poland,47768.86
2022-02-06,Poland,44444.0
2022-02-07,Poland,44444.0
2022-02-08,Poland,44444.0
2022-02-09,Poland,44444.0
2022-02-10,Poland,44444.0
2022-02-11,Poland,44444.0
2022-02-12,Poland,44444.0
2022-02-13,Poland,33726.43
2022-02-14,Poland,33726.43
2022-02-15,Poland,33726.43
2022-02-16,Poland,33726.43
2022-02-17,Poland,33726.43
2022-02-18,Poland,33726.43
2022-02-19,Poland,33726.43
2022-02-20,Poland,21772.43
2022-02-21,Poland,21772.43
2022-02-22,Poland,21772.43
2022-02-23,Poland,21772.43
2022-02-24,Poland,21772.43
2022-02-25,Poland,21772.43
2022-02-26,Poland,21772.43
2022-02-27,Poland,15243.57
2022-02-28,Poland,15243.57
2022-03-01,Poland,15243.57
2022-03-02,Poland,15243.57
2022-03-03,Poland,15243.57
2022-03-04,Poland,15243.57
2022-03-05,Poland,15243.57
2022-03-06,Poland,11610.0
2022-03-07,Poland,11610.0
2022-03-08,Poland,11610.0
2022-03-09,Poland,11610.0
2022-03-10,Poland,11610.0
2022-03-11,Poland,11610.0
2022-03-12,Poland,11610.0
2022-03-13,Poland,10989.0
2022-03-14,Poland,10989.0
2022-03-15,Poland,10989.0
2022-03-16,Poland,10989.0
2022-03-17,Poland,10989.0
2022-03-18,Poland,10989.0
2022-03-19,Poland,10989.0
2022-03-20,Poland,10354.57
2022-03-21,Poland,10354.57
2022-03-22,Poland,10354.57
2022-03-23,Poland,10354.57
2022-03-24,Poland,10354.57
2022-03-25,Poland,10354.57
2022-03-26,Poland,10354.57
2022-03-27,Poland,7444.71
2022-03-28,Poland,7444.71
2022-03-29,Poland,7444.71
2022-03-30,Poland,7444.71
2022-03-31,Poland,7444.71
2022-04-01,Poland,7444.71
2022-04-02,Poland,7444.71
2022-04-03,Poland,3775.43
2022-04-04,Poland,3775.43
2022-04-05,Poland,3775.43
2022-04-06,Poland,3775.43
2022-04-07,Poland,3775.43
2022-04-08,Poland,3775.43
2022-04-09,Poland,3775.43
2022-04-10,Poland,1232.29
2022-04-11,Poland,1232.29
2022-04-12,Poland,1232.29
2022-04-13,Poland,1232.29
2022-04-14,Poland,1232.29
2022-04-15,Poland,1232.29
2022-04-16,Poland,1232.29
2022-04-17,Poland,1007.14
2022-04-18,Poland,1007.14
2022-04-19,Poland,1007.14
2022-04-20,Poland,1007.14
2022-04-21,Poland,1007.14
2022-04-22,Poland,1007.14
2022-04-23,Poland,1007.14
2022-04-24,Poland,850.86
2022-04-25,Poland,850.86
2022-04-26,Poland,850.86
2022-04-27,Poland,850.86
2022-04-28,Poland,850.86
2022-04-29,Poland,850.86
2022-04-30,Poland,850.86
2022-05-01,Poland,793.57
2022-05-02,Poland,793.57
2022-05-03,Poland,793.57
2022-05-04,Poland,793.57
2022-05-05,Poland,793.57
2022-05-06,Poland,793.57
2022-05-07,Poland,793.57
2022-05-08,Poland,525.29
2022-05-09,Poland,525.29
2022-05-10,Poland,525.29
2022-05-11,Poland,525.29
2022-05-12,Poland,525.29
2022-05-13,Poland,525.29
2022-05-14,Poland,525.29
2022-05-15,Poland,431.29
2022-05-16,Poland,431.29
2022-05-17,Poland,431.29
2022-05-18,Poland,431.29
2022-05-19,Poland,431.29
2022-05-20,Poland,431.29
2022-05-21,Poland,431.29
2022-05-22,Poland,300.0
2022-05-23,Poland,300.0
2022-05-24,Poland,300.0
2022-05-25,Poland,300.0
2022-05-26,Poland,300.0
2022-05-27,Poland,300.0
2022-05-28,Poland,300.0
2022-05-29,Poland,232.43
2022-05-30,Poland,232.43
2022-05-31,Poland,232.43
2022-06-01,Poland,232.43
2022-06-02,Poland,232.43
2022-06-03,Poland,232.43
2022-06-04,Poland,232.43
2022-06-05,Poland,208.14
2022-06-06,Poland,208.14
2022-06-07,Poland,208.14
2022-06-08,Poland,208.14
2022-06-09,Poland,208.14
2022-06-10,Poland,208.14
2022-06-11,Poland,208.14
2022-06-12,Poland,205.14
2022-06-13,Poland,205.14
2022-06-14,Poland,205.14
2022-06-15,Poland,205.14
2022-06-16,Poland,205.14
2022-06-17,Poland,205.14
2022-06-18,Poland,205.14
2022-06-19,Poland,170.86
2022-06-20,Poland,170.86
2022-06-21,Poland,170.86
2022-06-22,Poland,170.86
2022-06-23,Poland,170.86
2022-06-24,Poland,170.86
2022-06-25,Poland,170.86
2022-06-26,Poland,262.86
2022-06-27,Poland,262.86
2022-06-28,Poland,262.86
